author,published_at,text
@zeaterfly,2025-09-02T06:16:11Z,ko ga dikasi garam siiiii
@NurulFitriani-r8c,2025-09-02T06:11:03Z,Apa sih nama map game ini
@TetenNaura,2025-09-02T05:32:04Z,Sambil makan nasi goreng 
@nabilahakim3668,2025-09-02T03:50:18Z,Kok muka om Arya mereng ya
@nabilahakim3668,2025-09-02T03:48:01Z,Hehhhh itu bukan jumbo
@arsakhavirendra-p8l,2025-09-02T03:44:02Z,Bang miaw kapan rum tur?
@SriYanti-hr7vc,2025-09-02T01:28:25Z,download di mana gemenya
@FerdianNurfadli-y5t,2025-09-02T00:24:56Z,Pelanggannya yg laki² kok mirip windah Basudara ya bang
@KharinNarendra,2025-09-01T18:19:25Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3973""1:06:13a ngakak banget "
@Davinpurnamasatria,2025-09-01T17:31:43Z,
@Berkah_sholawatSholawat,2025-09-01T16:14:34Z,Seremm
@MobileLegend-j3x,2025-09-01T14:48:19Z,"Ini baru gamer sejati, bukan kayak si jess no limit gamers mandi bola,"
@NisrinaFebriani-s2s,2025-09-01T14:20:02Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1760""29:20a NGAKAK BANGET GA KUATbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3908""1:05:08a INI JUGA BKIN NGAKAK "
@AldiSunda88,2025-09-01T13:44:29Z,Huhuy muncul lgi nih
@nazzyyri,2025-09-01T13:30:37Z,baru abis mkn nasgor
@nazzyyri,2025-09-01T13:30:20Z,"emang nasi goreng di daerah lain mahal ya, di sini nasgor ny 10k doag"
@AudreyFathilah,2025-09-01T13:11:38Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1312""21:52a Woii belum bayar woi!"
@Redmi9c-z8c,2025-09-01T12:43:47Z,Kagetnya nyetrum
@Dianamardiyanti-i2g,2025-09-01T11:32:02Z,Sapu biru nya kayak sapu dirumah ku
@halisahhakim7142,2025-09-01T11:25:53Z,Jir helikopter
@keyshaazalea4887,2025-09-01T09:29:39Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t792""13:12a quot;jumbo ya?quot; ngakak bgt"
@GiyantoSumberlawang,2025-09-01T09:15:07Z,Eh eh bagoyang dia
@soeparnotaslim8817,2025-09-01T08:01:55Z,NASI GORENG NYA KELIATAN ENAK
@fajaralam560,2025-09-01T07:39:32Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3952""1:05:52a Viktor telah belajar kungfu kah?"
@CahyaMentari-b4x9b,2025-09-01T07:32:43Z,Kaget sapek jantungku hapir copot  sampai gambarku kecoret
@syahidshafa1130,2025-09-01T07:31:44Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1374""22:54a"
@AnggaJamal-r5q,2025-09-01T06:25:38Z,Akhir pekan studio buat studio baru namanya akhir ayat Studio dari Bang Andi Lukito
@AzkaPrasetyo-k1f,2025-09-01T05:55:51Z,akuna
@khlif-dzikri,2025-09-01T05:37:32Z,Bro kamu orang Muslim atau Kristen
@ikanbilis2963,2025-09-01T04:37:41Z,Miawaug diperkaos
@nykellow,2025-09-01T04:21:42Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1233""20:33a quot;yalahquot; tapi kayak suara cewek"
@cat_cute-2015,2025-09-01T03:46:48Z,Kalian nyadar gak sih ITU RUMAHNYA SAMA KEK DI GAME quot;LAST LAUGH GAMEquot; NJIRRR
@KorizenMalaysia_115,2025-09-01T03:28:50Z,
@KorizenMalaysia_115,2025-09-01T03:13:12Z,
@SHAHDANIYALBINSHARIZANMoe,2025-09-01T00:54:24Z,Bg aku ada lihat ad yang nunjukin abang dalam ad nya cakap abg pernah main Dan sponsor untuk kita main nama game ad nya acecraft
@RealmeC21-c8i,2025-08-31T23:52:24Z,Mi awak masuk gym
@AmeliaDewii,2025-08-31T23:00:59Z,Hh
@Afrizalpalsu,2025-08-31T22:35:49Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t698""11:38a gwa mendengar kata kata kasar ya gaess"
@Retrokotil,2025-08-31T22:24:11Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t696""11:36a kaget"
@Yazid_khairi_gamer,2025-08-31T19:32:10Z,Nonton nasi goreng makan nasi goreng behh combo mantap itu
@vannsskuy3094,2025-08-31T16:50:29Z,Jujur demi apapun di bojonegoro nasi goreng masih ada yg jual dgn harga 6ribu-10ribu yg paling murah
@FadiaNatasya-n5e,2025-08-31T15:48:27Z,tolong jawab
@FadiaNatasya-n5e,2025-08-31T15:38:25Z,gambar game ya kayak gimana bang
@Indra-j2x4r,2025-08-31T14:26:27Z,Kaget gua bang 
@shazlina-j1t,2025-08-31T14:23:44Z,Hahahah makan nasi harus berdoa
@shazlina-j1t,2025-08-31T14:22:15Z,"Wah,pasti enak tapi takut jual malam²"
@MAMANLETSKI,2025-08-31T13:46:21Z,Parah cik Prabowo
@Sbt-bebekkuninggendut,2025-08-31T13:35:33Z,"Menit a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3955""1:05:55a bro baweh dehel bak helicopter "
@Apin-Mewing,2025-08-31T13:33:06Z,"Ada sesuatu di menit a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2406""40:06a di pojok kiri"
@Husentil123,2025-08-31T12:26:21Z,Kalo boleh nanya itu apa di lantai yang ada darahquot; Nya?
@RolandTysonYT,2025-08-31T12:21:36Z,"Ouh ini scene yg gua liat di tiktok a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3913""1:05:13a"
@FahmiNoviansyah,2025-08-31T12:13:02Z,Lah miauaug ternyata kristen
@ShakaXiaomi,2025-08-31T11:57:47Z,Semangat bg
@Chilla_gemoyss-2,2025-08-31T11:14:49Z,Aku sambil makan nasgor
@Half_NoobYT,2025-08-31T11:05:44Z,"Kak regi, kak regi ada ngiklanin suatu game gak? Gamenya tuh kayak cuphead tapi mobile gitu, itu emang atau bukan?"
@F1S,2025-08-31T11:01:58Z,Nasgornya ga pakai garam loh itu 
@amarGaming_97,2025-08-31T10:51:12Z,"Seketika kompornya nyala terus, bebas kebakaran "
@F1S,2025-08-31T10:49:48Z,Ikut kaget njr pas om arya muncul
@Yuda-b8t,2025-08-31T10:38:56Z,mantap 
@agusdwi9359,2025-08-31T10:34:25Z,Masih ke inget kucing
@Bermacam_macam,2025-08-31T10:17:21Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t699""11:39a Mamamia "
@Azkaazka-v7e,2025-08-31T10:16:48Z,Bang  jangan ke jakarta lagi demo
@X-CHAN2025,2025-08-31T09:59:14Z,Miyauaug itu nama panggilan aku Bimbim
@restuagung7793,2025-08-31T09:59:14Z,"Pagernya pendek amat, untung bukan di medan "
@flamingodays9675,2025-08-31T09:15:31Z,Caseoh aja main ni game.....
@Wahyu2705-c9u,2025-08-31T09:03:33Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2775""46:15a kek kenal mukanyabrSeperti terlihat sesosok goblin asal palembang"
@IwanKurnianto-v1n,2025-08-31T08:44:39Z,Kak regi aku ngefens sama kak regi coba tung tung lagi yang dulu ada yang baru
@IAMLANANG1,2025-08-31T08:43:20Z,Tadi kukira malam pertama yg 
@HasiholanO1,2025-08-31T08:22:05Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t334""5:34abr2 telur"
@JujuJunasih-ok2kb,2025-08-31T08:20:20Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t700""11:40a  AAAAAAA mama mia lejatos"
@MRzarchivicX,2025-08-31T08:05:08Z,kristian ya?
@klangenpptyas6322,2025-08-31T06:56:11Z,waw bagus banget
@williamarthur9750,2025-08-31T06:37:39Z,Itu gambar Prabowo dan Gibran ga ya kak yang kakak bilang jumbo heheh
@gedeandlong,2025-08-31T06:06:34Z,"Di daerah saya nasi goreng ada yg cuman 8k udh dpt ayam di suir sama krupuk udang, enak lagi"
@ASifa-o9t,2025-08-31T06:05:07Z,Habis maminya 6 sendok
@AboxoGeese,2025-08-31T05:37:15Z,ka Regi adalah GOAT
@RIP_Diilz,2025-08-31T05:36:32Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3938""1:05:38a ngakak"
@azkasauqi2327,2025-08-31T05:35:51Z,Pas jumscare aku kagi jongkok langsung loncat
@AlfanGhifari-z9i,2025-08-31T05:28:26Z,15K di jakarta untuk seporsi nasi goreng? di jawa timur 11K 
@Analytics_55,2025-08-31T05:19:05Z,kkk
@yukoo_official,2025-08-31T04:59:14Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t232""3:52a pas banget aku jga btuk pas di part itu"
@gibran_rq7yw,2025-08-31T04:23:12Z,Ngapain kunci orang juga tetap bisa manjak
@KEVANYANusantara,2025-08-31T04:18:06Z,jadi inget waktu di sekolah ninoz yang masih k_1   eh miau aung aku youtuber main ini  udah makan belu miau aung
@SuciPermata-t2l,2025-08-31T03:58:33Z,Aku  Sayang sama aKaka Regi
@channelriohoki7464,2025-08-31T03:20:16Z,Aku nangis sumpah di tengah tontonan
@byan-v6b,2025-08-31T03:13:00Z,Cewe kak
@AjwnbBJsbsba,2025-08-31T03:09:51Z,Windah Basudara
@LubukLinggau-u7c,2025-08-31T02:57:10Z,"nah aku suka bngtt nonton ka regi main game kayak ginii, soalnya kerasa vibes nyaa gitu loo, tambah lagi seruu, semangat ka regi "
@SlaluSlalu-d7q,2025-08-31T02:33:31Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t697""11:37a quot;yaa robbi alazatosquot; ngakak woiiibrBerawal dari kaget jadi ngakak"
@azka-b7w4s,2025-08-31T02:10:05Z,Bang kok game nya gak ada di pley storee
@dafithanizza3768,2025-08-31T01:58:09Z,Candu bangget mamalia lezatozz
@hjmama5260,2025-08-31T01:55:54Z,Aku cari tidak ada terus
@hjmama5260,2025-08-31T01:55:36Z,Mana ko g ada
@SitiAisyah-q2e1z,2025-08-31T00:33:56Z,TAGAN NYA BUNTUNG
@ditz1k,2025-08-30T16:58:08Z,muka karakter gamenya kocak bet
@zall_hoke,2025-08-30T16:35:04Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t55""0:55a itu harganya 13k mungkin karna angka 13 Terkenak dengan angka"
@Yulianajanan,2025-08-30T16:10:08Z,Kk regi main catur lagi dongg
@inayahazahra846,2025-08-30T15:36:05Z,Seruuu bangett
@gamerdinner8914,2025-08-30T15:11:55Z,
@saya5196,2025-08-30T14:37:50Z,Grafiknya sih bagus tapi bentuk manusia ny seadanya tapi overall bagus sih
@AryaAndhika-ph2nm,2025-08-30T13:46:45Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t792""13:12a brBuset jumbo wkwkwk"
@yayavynay0,2025-08-30T13:15:03Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2570""42:50a GTW KNP TP INI LUCU BGT PLS"
@ibnudwisaputra7805,2025-08-30T13:00:54Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t290""4:50a quot;mamah mau di matiin dulu gak....quot; Kaget bentar "
@BadriBro-k9i8j,2025-08-30T13:00:25Z,IudgubrJiu
@DelfitaBunga-yp5ne,2025-08-30T12:48:38Z,valerianya mlh duduk nontonin
@HafidahNofiana,2025-08-30T12:42:14Z,Kidvdj
@Meme-x5g-z8u,2025-08-30T12:35:32Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1331""22:11a orangnya belum bayar"
@zaimirengofficial,2025-08-30T12:35:08Z,Maksud ka regi sabun mencurigakan kaya apa yang bolong
@yogaarlijulian,2025-08-30T12:12:47Z,Saya jual nya 10rb
@GAMEX_X99,2025-08-30T12:08:28Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t389""6:29a Anak durhaka"
@aizatfaizal,2025-08-30T12:06:20Z,"Part a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t231""3:51a belike:Kaget"
@qizzatulrania3972,2025-08-30T11:41:02Z,Ihh sma aku mkn mlamnya mkn nsi goreng sma
@qizzatulrania3972,2025-08-30T11:40:23Z,Ihh kak buka
@Sahappyboy,2025-08-30T11:27:03Z,Kak regi coba main petualangan aripagung
@OpHanna-su7yw,2025-08-30T11:21:29Z,canda
@TIGORALFARODEI,2025-08-30T11:16:11Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t701""11:41a"
@HajidhikaDhika,2025-08-30T11:14:49Z,Paling serem sih cocok buat nonton pada malam hari dan sambil makan cemilan
@nicholas2015-r6e,2025-08-30T11:02:56Z,Geef Mij Maar Nasi Goreng judul kagu nasi goreng Belanda
@DhafithaNizza-p8r,2025-08-30T10:38:30Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3941""1:05:41a malah silat"
@Dft_Garry,2025-08-30T10:16:29Z,Aku selalu Di hati mu dimana pun kamu berada sayang kata kata manis siapa tuh 
@Adeliafaranisaasni-b9w,2025-08-30T10:15:01Z,
@rafid_1945,2025-08-30T10:03:20Z,"Ka regi kok videonya banyak iklan,setiap 5 menit muncul iklan terus"
@catzz_yt,2025-08-30T09:23:02Z," a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t837""13:57a"
@Angga-m4l,2025-08-30T09:07:35Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t368""6:08a iya bener kareggie aku juga gtu nasi dulu baru telur kebanyakan telur dulu baru nasibra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t395""6:35a muka itu kaya Poto orang ada yg kenal gkbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t443""7:23a Iyah itu maksud aku kareggie padahal developer nya ngasih,,,yh setujubra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t566""9:26a Dirumah aku semua rumah GK pernah matiin lampu ketika mau tidur,semua nyala tapi ketika mau tidur Terus gerah keringat matiin lampu itu kebiasaan aku,,,bukan cuma aku hampir semua gtu baik tetangga maupun orang lain semua orang gtu,,,yg Menyala baik dapur, ruang tamu ruang kamar,itu semua nyala,braku GK punya kamar mandi kamar mandinya pisah diluarbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t695""11:35a kaget meskipun tutup mata dan buka headset tetep kagetbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t790""13:10a WAW TIBA TIBA BANGET ADA BAJU PRABOWO GIBRAN aku punya baju kaya gtu pasti kalian juga punya kan KAREGGIE punya GK kaya gtu?bra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t823""13:43a kaget ih ngeselinbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3432""57:12a sama kareggie ikut merinding juga akubra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3703""1:01:43a ending buruk bgt itu yh kedenger bgt lagi ada suara jeritan nya dan tusuk tusukbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3828""1:03:48a daritadi emang kebuka pintunya kareggie cuman kareggie GK tutupbra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3277""54:37a pantesan pas true ending gua berpikir aduuhh gimana yh dengan ibu nya kasihan sendiri an anaknya menghilang ternyata si Valeria kaya jadi anak Malang gtu diculik atau menghilang secara TBA TBA"
@Feraa_zary,2025-08-30T07:39:56Z,di Medan 10k kak regi
@ShabiqAlbhiqi,2025-08-30T07:09:34Z,Ohh mama mia lezatoss
@nayxiao-o8z,2025-08-30T07:06:05Z,jdi cewe gaenak jir
@1TS_N4Y._CH,2025-08-30T06:29:22Z,Hai bang akhirnya ketemu lagi brbrbrbrbrbrbrbrbrbrTerakhir aku nonton ini di tahun 2023
@devinyossfana8822,2025-08-30T06:18:08Z,Wih hd banget
@NurhasyimHasyim-mz5hz,2025-08-30T06:11:23Z,"Sampe veleria pas lagi  berantem malah duduk sante a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3966""1:06:06a"
@REFANMULIADI-p7g,2025-08-30T06:05:00Z,Miauaug jadi kaget main ff ya ka pliss
@NairaAllura,2025-08-30T05:49:30Z,Gak ada yang beli 3 atau 4 nasi goreng apa ya
@Ryuunosuke123,2025-08-30T05:42:20Z,Wah ini mah tiap hari gini wik
@sofia_aja-c3h,2025-08-30T05:17:50Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t791""13:11a baju prabowo sama gibran"
@MuhammadPratama-j7o,2025-08-30T04:58:51Z,lah nama ABG gua Arya
@wahyujunior8548,2025-08-30T04:23:18Z,Weh mantap pahlawan
@izoelpria6062,2025-08-30T04:17:15Z,Nama gamenya apa banh
@CAHAYA5USM,2025-08-30T04:01:18Z,Apa nama game ni
@superqolqolah,2025-08-30T03:54:45Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3469""57:49a kebenaran telah tiba"
@FitriHandayani-wd9wd,2025-08-30T03:43:36Z,Miawaug jangan lah panggil astaga namanya itu kristen
@FafaDila-e4k,2025-08-30T03:38:02Z,Pas bgt aku lagi makan nasi goreng
@Rorrw_13,2025-08-30T02:50:42Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2172""36:12a nama kakak ku"
@KaylaputriHumaira-w4f,2025-08-30T02:43:32Z,Gw salfok bet ama endingnya bang
@yayaya8482,2025-08-30T02:37:57Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3936""1:05:36a GAKUUAATT PAS PART INIIII"
@user-fo3fd7hw3q,2025-08-30T02:12:50Z,wah hebat banget ka miau aku 
@CiaMiaw,2025-08-30T01:02:43Z,Rumah nya di Linda yg bawa hp lupa aku judl nya.
@VivoV40-n7m,2025-08-30T00:42:12Z,Pandai masak apacoba ngak ngok ngak ngok nyari oseng
@DjagatAribowo-un1op,2025-08-30T00:39:58Z,Aku cuma Sabtu Minggu kok
@mrafliramadhans3766,2025-08-30T00:29:28Z,berhasil
@azaleaNaura-c7e,2025-08-29T22:34:38Z,Kak itu kalau donlot di hp GK bisa ya
@azaleaNaura-c7e,2025-08-29T22:34:24Z,Kak itu kalau donlot di hp GK bisa ya
@azaleaNaura-c7e,2025-08-29T22:33:43Z,Kak itu kalau donlot di hp GK bisa ya
@rakautama2920,2025-08-29T19:08:41Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1354""22:34a semngt bng"
@DarkosLestaluhu,2025-08-29T15:31:55Z,Lama gak nonton bang karegi sekarang udah bagus aja
@pwwettyyy,2025-08-29T15:25:43Z,
@equipmentsstore,2025-08-29T14:43:22Z,Itu bukan dilempar itu ditaroh
@jandel-2306,2025-08-29T14:38:59Z,Bang gua kangen banget sama lu
@thessasams,2025-08-29T14:09:43Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3935""1:05:35a brbrNgakak banget keluar wingchunnn"
@winteerjae,2025-08-29T13:56:35Z,kk regie main game simulator dong
@misterxime,2025-08-29T13:40:55Z,keren nasi goreng 13rb telor 2
@Kismi-f6h,2025-08-29T13:40:43Z,bang dapet game kyk gituan dimana ya?
@BellaCarissa-k8w,2025-08-29T13:38:28Z,Pas banget aku lagi makan nasi goreng
@riyukipo,2025-08-29T13:33:38Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t792""13:12a itu wowombo and fufufabo bukan jumbo"
@ketotyete7291,2025-08-29T13:24:35Z,nasgor di tempat ku 8rb an
@Ariel.Nifasa,2025-08-29T13:15:38Z,quot;MAMAMIA ALEZATOSquot; 
@Eka-d1l,2025-08-29T13:05:42Z,Seru kali permainan nya bang semangat bang konten nya ya
@Zen-Robloxian61,2025-08-29T12:59:33Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3938""1:05:38a"
@edilau385,2025-08-29T12:59:10Z,Bumbu nya kok ga di masukinnn??
@Maulana_ar_Rosyid,2025-08-29T12:52:43Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3439""57:19a plot twis"
@Omnivorawr,2025-08-29T12:36:25Z,Gaada micin
@riyukipo,2025-08-29T12:28:02Z,Di tempat ku Masi ada nasi goreng 10k dan porsinya kuli
@HaziqZiyad-m9z,2025-08-29T11:52:53Z,Coba main game banban gw rasa udah ada ni update nya tolong di baca
@TutikTutik-t8s,2025-08-29T11:37:11Z,
@anasabdullah8733,2025-08-29T11:16:40Z,quot;to be continuedquot; ABSOLUTE  CHINEMA
@ayunie12345,2025-08-29T10:52:41Z,KAK billy Samuel main game ini
@aastrigotri9372,2025-08-29T10:50:33Z,Syibal
@Elyn-t9e,2025-08-29T10:22:28Z,Bang terus semangat ya aku ngefans abang
@Elyn-t9e,2025-08-29T10:19:51Z,Bang kayak nya yg ngintip itu orang yg bilang cantik
@cakranagara3265,2025-08-29T09:46:21Z,Jadi ingat waktu aku masih umur makasih ya miawaug udh ada untuk kita
@AnakPanggoaran01,2025-08-29T09:43:18Z,Wkwkwk helikopter gak tuh
@KenzoAufahugo,2025-08-29T09:31:09Z,Bentar bang andy kan buat game ini kan sama ank sma apakah yang dimaksud arydkrama??????
@Airaaaqt,2025-08-29T09:15:45Z,
@surriel8191,2025-08-29T09:05:54Z,Windah belum main ini game yaa?
@AdiRassya,2025-08-29T08:57:27Z,Bang regi main Roblox main grow a Garden bang regi
@RahmatlistantoHentu,2025-08-29T08:33:54Z,Bang gua sudah pernah nonton di bang Billy
@RahmatlistantoHentu,2025-08-29T08:33:36Z,Bang gua udah pernah nonton di bang Billy
@afz_nopal313,2025-08-29T08:31:35Z,Miawaug kok bagus banget bikin sedih
@KhalisaMaura-i8f,2025-08-29T08:24:06Z,Mantip tu nanti kaya
@Fiviangrhsptra,2025-08-29T08:05:51Z,Kak bukan penonton pertama tp penonton setiaaa
@Yaszajahh,2025-08-29T07:47:28Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1897""31:37a nasgor goreng"
@JustinA.w,2025-08-29T07:47:25Z,Bjirr nasgor goreng
@NeiraNurdiyanti,2025-08-29T07:17:07Z,Chef andalan 
@takjil777_Kamil,2025-08-29T07:02:01Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t231""3:51a udah pajak naik ntar juga harus bayar air"
@NurAdraqayla,2025-08-29T07:00:42Z,Kayak nya ibunya bishbr
@MayaRatnasari-l2v,2025-08-29T06:52:37Z,Main game horor lagi woi
@FdcellCell-c2d,2025-08-29T06:27:37Z,sabun 
@Taruna_satribagas,2025-08-29T06:18:38Z,menit 25 miawaug malah nge rap
@christinadesiana1081,2025-08-29T06:09:47Z,Karegi main garten of banban 8 Karegi
@christinadesiana1081,2025-08-29T06:09:27Z,Karegi main garten of banban 8 Karegi
@meyrizka_gacha2,2025-08-29T06:06:00Z,Aku suka bgt game kayak begini yang ada unsur horror tapi tetep seru dan bikin laperr seru lihat nya kapan kapan main game kayak gini lagi ya kak miawaug 
@CIRCLE_BLACKPINK,2025-08-29T06:00:12Z,Bang gw kaget kan gw lagi minum dan tiba² air nya jatohh
@mie_gosyong,2025-08-29T05:55:18Z,Bang tinggal di mana aku sua sembada timur 4
@muhammadimron2772,2025-08-29T05:48:32Z,kak regi cobak main geme perang lagi aku suka soal nya
@Haii_Syinerss,2025-08-29T05:47:21Z,Di tempat ku nasi goreng 2 telor 10 rb kalo biasa 9 rb
@putfan5074,2025-08-29T05:15:05Z,miawAug suka nasi padang gak 
@AndaluciaBahrun,2025-08-29T04:48:54Z,raziaKudhLiKE
@LisdaWati-o1b,2025-08-29T04:36:25Z,Lo yg main gw yg dedekan
@aku_anakkingmighty,2025-08-29T04:29:22Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t700""11:40a Mamamia leza-hits hard"
@argakhafid1347,2025-08-29T04:29:18Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2353""39:13a nama aku arga kak regi"
@DebyWorabay-j5s,2025-08-29T04:27:59Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t696""11:36a nyetrum anjim "
@aku_anakkingmighty,2025-08-29T04:19:27Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t174""2:54a Sabun apa tuchh"
@AkmalRizkhi,2025-08-29T04:13:07Z,Viktor: vikiran kotor
@astridkiraraervinnanda665,2025-08-29T04:10:22Z,"Di Jawa Timur or jawa tengah,, rata rata nasgor masih harga 10rb sampai 13 rb kalau dipinggir jalan nih bang"
@bettafish_jabodetabek,2025-08-29T03:36:31Z,Sad amat cerita si valeria
@kanevvans,2025-08-29T03:02:57Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1928""32:08a salfok banget udah nasgor masi ditambahin goreng"
@Mamaeza-u2z,2025-08-29T02:28:33Z,Reza Arya nama anak aku
@HantenioJinor-g1t,2025-08-29T02:17:42Z,Agak lain ibu nya
@temasem5804,2025-08-29T01:41:28Z,windahbasudara
@MARDOSxVILLAIN,2025-08-29T01:19:10Z,Miawaug adalah idola favorit ku
@tapchannels7720,2025-08-28T22:09:36Z,Hadir 
@deddyalxuchend6442,2025-08-28T16:21:25Z,Siaa ni yg udah lama nonton miawaug. Gue sejak dia mainin game horor. 2019 bukan sih?
@yusyumelkits2718,2025-08-28T15:34:10Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3916""1:05:16a dia garuk²"
@HjTaslimah-w5j,2025-08-28T15:05:57Z,Hai kak regiii aku lagi nonton video mu pake 2 handphone ehe
@halimahtusadiyahwibowo3310,2025-08-28T14:57:58Z,aaaa so sadd ketika tahu bahwa mamanya udah meninggal sejak sebulan yg lalu ternyata kemunculan mamanya itu karena mau ngewarning anaknya untuk berhenti jualan supaya tetep aman
@aidalubis25,2025-08-28T14:35:46Z,atau ga main game toko makanan atau minuman gitu
@aidalubis25,2025-08-28T14:34:58Z,ka Regi main game super market simulator dong udah lama ga main 
@Michell87,2025-08-28T14:26:20Z,Tim yang lebih suka miawaug main game horor animasi kayak gini
@murayama-432,2025-08-28T14:24:58Z,Bang main game DEATH STRANDING dong
@TriWaluyo-wc5sk,2025-08-28T14:14:17Z,Ih goblok amat si miawaung 
